 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text= Alle glider i tis, falder om, slår hovedet, der går ild i det, der kan gå ild i, hvilket man allerede ved, når man første gang kaster et blik på det nymalede flotte portræt af svigerfar.
1-1	Alle	al	PI:p-u#:--:----	
91-1	Blikket	blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-1|blik-1-2|blik-1-3	NC:sdun:--:----	
91-2	er	være	--	
91-3	fast	fast	AD:----:--:p---	
91-4	,	,	ZD	
91-5	attituden	attitude	NC:sduc:--:----	
91-6	afvæbnende	afvæbne	VP:##u#:s-:----	
91-7	,	,	ZD	
91-8	og	og	CC:----:--:----	
91-9	sportsprogrammet	sportsprogram	NC:sdun:--:----	
91-10	på	på	T-:----:--:----	
91-11	fladskærmen	fladskærm	NC:sduc:--:----	
91-12	er	være	VF:----:sa:----	
91-13	gået	gå	VT:siu#:t-:----	
91-14	videre	videre	D-:----:--:u---	
91-15	til	til	T-:----:--:----	
91-16	NBA	NBA	NP:siu#:--:----	
91-17	basketball	basketball	NC:siuc:--:----	
91-18	.	.	ZP	

#id=92
#text= Jannik værdiger det ikke et blik.
92-1	Jannik	Jannik	NP:siu#:--:----	
92-2	værdiger	værdige	VF:----:sa:----	
92-3	det	det	PP:s-un:--:-3n-	
92-4	ikke	ikke	D-:----:--:u---	
92-5	et	en	PI:s-un:--:----	
92-6	blik	blik|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-3|blik-1-4|blik-1-4a|blik-1-1|blik-1-2	NC:siun:--:----	
92-7	.	.	ZP	

#id=93
#text=Det skyldes Guldbrandsens skarpe blik for afslørende scener.
93-1	Det	det	PP:s-un:--:-3n-	
93-2	skyldes	skylde	VF:----:sp:----	
93-3	Guldbrandsens	Guldbrandsens	NP:sig#:--:----	
93-4	skarpe	skarp	AC:sdu#:--:p---	
93-5	blik	blik|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-3|blik-1-4|blik-1-4a|blik-1-1|blik-1-2	NC:siun:--:----	
93-6	for	for	T-:----:--:----	
93-7	afslørende	afsløre	VP:##u#:s-:----	
93-8	scener	scene	NC:piu#:--:----	
93-9	.	.	ZP	

#id=94
#text= Vi var vidner til fortielser, fortrængninger, lusk og uklarhed pakket ind i knus, kropssprog og 'jeg tænker mit'-blikke.
94-1	Vi	vi	PP:p-nc:--:-1n-	
94-2	var	være	VF:----:ta:----	
94-3	vidner	vidne	NC:piu#:--:----	
94-4	til	til	T-:----:--:----	
94-5	fortielser	fortielse	NC:piu#:--:----	
94-6	,	,	ZD	
94-7	fortrængninger	fortrængning	NC:piu#:--:----	
94-8	,	,	ZD	
94-9	lusk	lusk	NC:siuc:--:----	
94-10	og	og	CC:----:--:----	
94-11	uklarhed	uklarhed	NC:siuc:--:----	
94-12	pakket	pakke	VT:siu#:t-:----	
94-13	ind	ind	D-:----:--:u---	
94-14	i	i	T-:----:--:----	
94-15	knus	knus	NC:siun:--:----	
94-16	,	,	ZD	
94-17	kropssprog	kropssprog	NC:siun:--:----	
94-18	og	og	D-:----:--:u---	
94-19	'	'	ZA	
94-20	jeg	jeg	NC:siun:--:----	
94-21	tænker	tænker	XY:----:--:----	
94-22	mit	mit	XF:----:--:----	
94-23	'	'	ZA	
94-24	-	-	NC:piu#:--:----	
94-25	blikke	blik|blik-F-finde-nåde-for-nogens-blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-1-2|blik-1-3|blik-1-1|blik-F-få-blikket|blik-F-indre-blik	NC:piu#:--:----	
94-26	.	.	ZP	

#id=95
#text=Lizard-halvøen har et mildt klima, og Atlanterhavets uendelighed forlener blikket med noget både sollyst og  dunkelt.
95-1	Lizard	Lizard	NP:siu#:--:----	
95-2	-	-	ZH	
95-3	halvøen	halvø	NC:sduc:--:----	
95-4	har	have	VF:----:sa:----	
95-5	et	en	PI:s-un:--:----	
95-6	mildt	mild	AC:siun:--:p---	
95-7	klima	klima	NC:siun:--:----	
95-8	,	,	ZD	
95-9	og	og	CC:----:--:----	
95-10	Atlanterhavets	Atlanterhavet	NP:sig#:--:----	
95-11	uendelighed	uendelighed	NC:siuc:--:----	
95-12	forlener	forlene	VF:----:sa:----	
95-13	blikket	blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-1-2|blik-1-3|blik-1-1	NC:sdun:--:----	
95-14	med	med	:--:----	
95-15	noget	nogen	PI:s-un:--:----	
95-16	både	både	D-:----:--:u---	
95-17	sollyst	sollys	AD:----:--:p---	
95-18	og	og	CC:----:--:----	
95-19	dunkelt	dunkel	AD:----:--:p---	
95-20	.	.	ZP	

#id=96
#text= Hvilket næsten er det samme, hvis man har blikket rettet mod bundlinjen.
96-1	Hvilket	hvilken	PR:s-un:--:----	
96-2	næsten	næsten	D-:----:--:u---	
96-3	er	være	VF:----:sa:----	
96-4	det	den	PM:s-un:--:----	
96-5	samme	samme	AC:§§u§:--:p---	
96-6	,	,	ZD	
96-7	hvis	hvis	CS:----:--:----	
96-8	man	man	PI:#-uc:--:----	
96-9	har	have	VF:----:sa:----	
96-10	blikket	blik|blik-1-3|blik-1-4|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-4a|blik-1-2|blik-1-1	NC:sdun:--:----	
96-11	rettet	rette	VT:siu#:t-:----	
96-12	mod	mod	T-:----:--:----	
96-13	bundlinjen	bundlinje	NC:sduc:--:----	
96-14	.	.	ZP	

#id=97
#text=Så stopper hendes ordstrøm et kort øjeblik, inden hun slår ud med armene og kaster sit konstant fokuserede blik hen over cafebordet:
97-1	Så	så	D-:----:--:u---	
97-2	stopper	stoppe	VF:----:sa:----	
97-3	hendes	hendes	PO:#--#:--:-3ns	
97-4	ordstrøm	ordstrøm	NC:siuc:--:----	
97-5	et	en	PI:s-un:--:----	
97-6	kort	kort	AC:siu§:--:p---	
97-7	øjeblik	øjeblik	NC:siun:--:----	
97-8	,	,	ZD	
97-9	inden	inden	CS:----:--:----	
97-10	hun	hun	PP:s-nc:--:-3n-	
97-11	slår	slå	VF:----:sa:----	
97-12	ud	ud	D-:----:--:u---	
97-13	med	med	T-:----:--:----	
97-14	armene	arm	NC:pdu#:--:----	
97-15	og	og	CC:----:--:----	
97-16	kaster	kaste	VF:----:sa:----	
97-17	sit	sit	XY:----:--:----	
97-18	konstant	konstant	AD:----:--:p---	
97-19	fokuserede	fokusere	VP:sdu#:t-:----	
97-20	blik	blik|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-1-2|blik-1-3|blik-1-1	NC:siun:--:----	
97-21	hen	hen	D-:----:--:u---	
97-22	over	over	T-:----:--:----	
97-23	cafebordet	cafebordet	NC:sdun:--:----	
97-24	:	:	ZP	

#id=98
#text= Men hvorfor ser vi ikke en bilejer, som nyder den sublime køreglæde, betragter bilen i garagen med et ømt blik eller uden besvær får femten indkøbsposer og en barnevogn pakket ned i bagagerummet?
98-1	Men	men	CC:----:--:----	
98-2	hvorfor	hvorfor	D-:----:--:u---	
98-3	ser	se	VF:----:sa:----	
98-4	vi	vi	PP:p-nc:--:-1n-	
98-5	ikke	ikke	D-:----:--:u---	
98-6	en	en	PI:s-uc:--:----	
98-7	bilejer	bilejer	NC:siuc:--:----	
98-8	,	,	ZD	
98-9	som	som	US:----:--:----	
98-10	nyder	nyde	VF:----:sa:----	
98-11	den	den	PM:s-uc:--:----	
98-12	sublime	sublim	AC:sdu#:--:p---	
98-13	køreglæde	køreglæde	NC:siuc:--:----	
98-14	,	,	ZD	
98-15	betragter	betragte	VF:----:sa:----	
98-16	bilen	bil	NC:sduc:--:----	
98-17	i	i	T-:----:--:----	
98-18	garagen	garage	NC:sduc:--:----	
98-19	med	med	T-:----:--:----	
98-20	et	en	PI:s-un:--:----	
98-21	ømt	øm	AC:siun:--:p---	
98-22	blik	blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-1|blik-1-2|blik-1-3	NC:siun:--:----	
98-23	eller	eller	CC:----:--:----	
98-24	uden	uden	T-:----:--:----	
98-25	besvær	besvær	NC:siun:--:----	
98-26	får	få	VF:----:sa:----	
98-27	femten	femten	LC:--u-:--:----	
98-28	indkøbsposer	indkøbspose	NC:piu#:--:----	
98-29	og	og	CC:----:--:----	
98-30	en	en	PI:s-uc:--:----	
98-31	barnevogn	barnevogn	NC:siuc:--:----	
98-32	pakket	pakke	VT:siu#:t-:----	
98-33	ned	ned	D-:----:--:u---	
98-34	i	i	T-:----:--:----	
98-35	bagagerummet	bagagerum	NC:sdun:--:----	
98-36	?	?	ZQ	

#id=99
#text= Svage grupper som de ældre, de kronisk syge og de psykisk syge har Erik Juhl-udvalget ikke rigtig blik for.
99-1	Svage	svag	AC:p#u#:--:p---	
99-2	grupper	gruppe	NC:piu#:--:----	
99-3	som	som	US:----:--:----	
99-4	de	den	PM:p-u#:--:----	
99-5	ældre	gammel	AC:##u#:--:c---	
99-6	,	,	ZD	
99-7	de	de	PP:p-n#:--:-3n-	
99-8	kronisk	kronisk	AD:----:--:p---	
99-9	syge	syg	AC:p#u#:--:p---	
99-10	og	og	CC:----:--:----	
99-11	de	den	PM:p-u#:--:----	
99-12	psykisk	psykisk	AD:----:--:p---	
99-13	syge	syg	AC:p#u#:--:p---	
99-14	har	have	VF:----:sa:----	
99-15	Erik	Erik	NP:siu#:--:----	
99-16	Juhl	Juhl	NW:----:--:----	
99-17	-	-	ZH	
99-18	udvalget	udvalg	NC:sdun:--:----	
99-19	ikke	ikke	D-:----:--:u---	
99-20	rigtig	rigtig	AC:siuc:--:p---	
99-21	blik	blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-1|blik-1-2|blik-1-3	NC:siun:--:----	
99-22	for	for	T-:----:--:----	
99-23	.	.	ZP	

#id=100
#text= Hverken hund eller mand værdigede mig et blik.
100-1	Hverken	hverken	D-:----:--:u---	
100-2	hund	hund	NC:siuc:--:----	
100-3	eller	eller	CC:----:--:----	
100-4	mand	mand	NC:siuc:--:----	
100-5	værdigede	værdige	VF:----:ta:----	
100-6	mig	jeg	PP:s-uc:--:-1#-	
100-7	et	en	PI:s-un:--:----	
100-8	blik	blik|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-3|blik-1-4|blik-1-4a|blik-2-1-1a|blik-1-1|blik-1-2	NC:siun:--:----	
100-9	.	.	ZP	

